"19","0.68","when","total.super.intervention","< ","2.5","","","&","current.substructure",">=","","","5.5","&","total.sub.intervention",">=","1.5","","","","","","","","","","","&","current.superstructure","< ","5.5","","","","","","","","","","","","","","","","","","","","","","","",""
"83","0.70","when","total.super.intervention","< ","2.5","","","&","current.substructure","< ","4.5","","","&","total.sub.intervention","< ","1.5","","","","","","","&","type.of.wearing.surfaceType of WS: None (no additional concrete thickness or wearing surface is included in the bridge deck)",">=","0.5","&","current.superstructure",">=","4.5","","","","","","","","","","","","","","","","","","","","","","","",""
"21","0.71","when","total.super.intervention","< ","2.5","","","&","current.substructure","< ","5.5","","","&","total.sub.intervention",">=","1.5","","","","","","","&","type.of.wearing.surfaceType of WS: None (no additional concrete thickness or wearing surface is included in the bridge deck)",">=","0.5","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"37","0.73","when","total.super.intervention","< ","2.5","","","&","current.substructure",">=","","","5.5","&","total.sub.intervention",">=","1.5","","","","","","","","","","","&","current.superstructure",">=","5.5","","","","","","","","","&","total.deck.intervention",">=","3.5","","","","","","","","","","","",""
"53","0.74","when","total.super.intervention",">=","","","2.5","&","current.substructure",">=","","","6.5","&","total.sub.intervention","< ","3.5","&","snowfall","< ","95.0","","","","","","","","","","","","","","","&","precipitation","< ","3.4","","","","","","","","","","","","","","","",""
"11","0.76","when","total.super.intervention","< ","2.5","","","&","current.substructure","< ","5.5","","","","","","","","","","","","","&","type.of.wearing.surfaceType of WS: None (no additional concrete thickness or wearing surface is included in the bridge deck)","< ","0.5","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"25","0.83","when","total.super.intervention",">=","","","2.5","&","current.substructure",">=","","","6.5","","","","","&","snowfall",">=","","","95.0","","","","","","","","","","","","","","","","","&","total.deck.intervention",">=","4.5","","","","","","","","","","","",""
"27","0.84","when","total.super.intervention",">=","","","2.5","&","current.substructure",">=","","","6.5","&","total.sub.intervention",">=","3.5","&","snowfall","< ","95.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"559","0.89","when","total.super.intervention","< ","2.5","","","&","current.substructure","is","5.5","to","6.5","&","total.sub.intervention","< ","1.5","&","snowfall",">=","","","32.8","&","type.of.wearing.surfaceType of WS: None (no additional concrete thickness or wearing surface is included in the bridge deck)","< ","0.5","","","","","&","type.of.wearing.surfaceType of WS: Monolithic Concrete (concurrently placed with structural deck)","< ","0.5","","","","","","","","","","","","","","","","","&","type.of.wearing.surfaceType of WS: Not Applicable (applies only to structures with no deck","< ","0.5"
"7","0.90","when","total.super.intervention",">=","","","2.5","&","current.substructure","< ","6.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"71","0.93","when","total.super.intervention","< ","2.5","","","&","current.substructure","is","5.5","to","6.5","&","total.sub.intervention","< ","1.5","","","","","","","","","","","","","","","&","type.of.wearing.surfaceType of WS: Monolithic Concrete (concurrently placed with structural deck)",">=","0.5","","","","","","","","","&","current.deck","< ","4.5","","","","","","","",""
